"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"East Windsor School District","900324800","2011-2012","Special Education","Other Count","Number","-9999"
"East Windsor School District","900324800","2011-2012","Non-Special Education","Other Rate","Percent","-9999"
"East Windsor School District","900324800","2011-2012","Special Education","Other Rate","Percent","-9999"
"East Windsor School District","900324800","2012-2013","Non-Special Education","Total Cohort Count","Number","76"
"East Windsor School District","900324800","2012-2013","Special Education","Total Cohort Count","Number","20"
"East Windsor School District","900324800","2012-2013","Non-Special Education","Four Year Graduation Count","Number","67"
"East Windsor School District","900324800","2012-2013","Special Education","Four Year Graduation Count","Number","12"
"East Windsor School District","900324800","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent","88.2"
"East Windsor School District","900324800","2012-2013","Special Education","Four Year Graduation Rate","Percent","60.0"
"East Windsor School District","900324800","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"East Windsor School District","900324800","2012-2013","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"East Windsor School District","900324800","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"East Windsor School District","900324800","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"East Windsor School District","900324800","2012-2013","Non-Special Education","Other Count","Number","-9999"
"East Windsor School District","900324800","2012-2013","Special Education","Other Count","Number","-9999"
"East Windsor School District","900324800","2012-2013","Non-Special Education","Other Rate","Percent","-9999"
"East Windsor School District","900324800","2012-2013","Special Education","Other Rate","Percent","-9999"
"East Windsor School District","900324800","2013-2014","Non-Special Education","Total Cohort Count","Number","92"
"East Windsor School District","900324800","2013-2014","Special Education","Total Cohort Count","Number","17"
"East Windsor School District","900324800","2013-2014","Non-Special Education","Four Year Graduation Count","Number","83"
"East Windsor School District","900324800","2013-2014","Special Education","Four Year Graduation Count","Number","14"
"East Windsor School District","900324800","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent","90.2"
"East Windsor School District","900324800","2013-2014","Special Education","Four Year Graduation Rate","Percent","82.4"
"East Windsor School District","900324800","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"East Windsor School District","900324800","2013-2014","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"East Windsor School District","900324800","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"East Windsor School District","900324800","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"East Windsor School District","900324800","2013-2014","Non-Special Education","Other Count","Number","-9999"
"East Windsor School District","900324800","2013-2014","Special Education","Other Count","Number","-9999"
"East Windsor School District","900324800","2013-2014","Non-Special Education","Other Rate","Percent","-9999"
"East Windsor School District","900324800","2013-2014","Special Education","Other Rate","Percent","-9999"
"East Windsor School District","900324800","2014-2015","Non-Special Education","Total Cohort Count","Number","70"
"East Windsor School District","900324800","2014-2015","Special Education","Total Cohort Count","Number","20"
"East Windsor School District","900324800","2014-2015","Non-Special Education","Four Year Graduation Count","Number","63"
"East Windsor School District","900324800","2014-2015","Special Education","Four Year Graduation Count","Number","15"
"East Windsor School District","900324800","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent","90.0"
"East Windsor School District","900324800","2014-2015","Special Education","Four Year Graduation Rate","Percent","75.0"
"East Windsor School District","900324800","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"East Windsor School District","900324800","2014-2015","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"East Windsor School District","900324800","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"East Windsor School District","900324800","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"East Windsor School District","900324800","2014-2015","Non-Special Education","Other Count","Number","-9999"
"East Windsor School District","900324800","2014-2015","Special Education","Other Count","Number","-9999"
"East Windsor School District","900324800","2014-2015","Non-Special Education","Other Rate","Percent","-9999"
"East Windsor School District","900324800","2014-2015","Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2010-2011","Non-Special Education","Total Cohort Count","Number","165"
"Ellington School District","901325360","2010-2011","Special Education","Total Cohort Count","Number","17"
"Ellington School District","901325360","2010-2011","Non-Special Education","Four Year Graduation Count","Number","156"
"Ellington School District","901325360","2010-2011","Special Education","Four Year Graduation Count","Number","16"
"Ellington School District","901325360","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent","94.5"
"Ellington School District","901325360","2010-2011","Special Education","Four Year Graduation Rate","Percent","94.1"
"Ellington School District","901325360","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2010-2011","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2010-2011","Non-Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2010-2011","Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2010-2011","Non-Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2010-2011","Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2011-2012","Non-Special Education","Total Cohort Count","Number","181"
"Ellington School District","901325360","2011-2012","Special Education","Total Cohort Count","Number","22"
"Ellington School District","901325360","2011-2012","Non-Special Education","Four Year Graduation Count","Number","170"
"Ellington School District","901325360","2011-2012","Special Education","Four Year Graduation Count","Number","13"
"Ellington School District","901325360","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent","93.9"
"Ellington School District","901325360","2011-2012","Special Education","Four Year Graduation Rate","Percent","59.1"
"Ellington School District","901325360","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2011-2012","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2011-2012","Non-Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2011-2012","Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2011-2012","Non-Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2011-2012","Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2012-2013","Non-Special Education","Total Cohort Count","Number","179"
"Ellington School District","901325360","2012-2013","Special Education","Total Cohort Count","Number","19"
"Ellington School District","901325360","2012-2013","Non-Special Education","Four Year Graduation Count","Number","167"
"Ellington School District","901325360","2012-2013","Special Education","Four Year Graduation Count","Number","15"
"Ellington School District","901325360","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent","93.3"
"Ellington School District","901325360","2012-2013","Special Education","Four Year Graduation Rate","Percent","78.9"
"Ellington School District","901325360","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2012-2013","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2012-2013","Non-Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2012-2013","Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2012-2013","Non-Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2012-2013","Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2013-2014","Non-Special Education","Total Cohort Count","Number","172"
"Ellington School District","901325360","2013-2014","Special Education","Total Cohort Count","Number","22"
"Ellington School District","901325360","2013-2014","Non-Special Education","Four Year Graduation Count","Number","167"
"Ellington School District","901325360","2013-2014","Special Education","Four Year Graduation Count","Number","18"
"Ellington School District","901325360","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent","97.1"
"Ellington School District","901325360","2013-2014","Special Education","Four Year Graduation Rate","Percent","81.8"
"Ellington School District","901325360","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2013-2014","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2013-2014","Non-Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2013-2014","Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2013-2014","Non-Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2013-2014","Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2014-2015","Non-Special Education","Total Cohort Count","Number","171"
"Ellington School District","901325360","2014-2015","Special Education","Total Cohort Count","Number","35"
"Ellington School District","901325360","2014-2015","Non-Special Education","Four Year Graduation Count","Number","171"
"Ellington School District","901325360","2014-2015","Special Education","Four Year Graduation Count","Number","29"
"Ellington School District","901325360","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent","100.0"
"Ellington School District","901325360","2014-2015","Special Education","Four Year Graduation Rate","Percent","82.9"
"Ellington School District","901325360","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2014-2015","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ellington School District","901325360","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ellington School District","901325360","2014-2015","Non-Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2014-2015","Special Education","Other Count","Number","-9999"
"Ellington School District","901325360","2014-2015","Non-Special Education","Other Rate","Percent","-9999"
"Ellington School District","901325360","2014-2015","Special Education","Other Rate","Percent","-9999"
"Elm City College Preparatory School District","","2010-2011","Non-Special Education","Total Cohort Count","Number","-6666"
"Elm City College Preparatory School District","","2010-2011","Special Education","Total Cohort Count","Number","-6666"
"Elm City College Preparatory School District","","2010-2011","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Elm City College Preparatory School District","","2010-2011","Special Education","Four Year Graduation Count","Number","-6666"
"Elm City College Preparatory School District","","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City College Preparatory School District","","2010-2011","Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City College Preparatory School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City College Preparatory School District","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City College Preparatory School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City College Preparatory School District","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City College Preparatory School District","","2010-2011","Non-Special Education","Other Count","Number","-6666"
"Elm City College Preparatory School District","","2010-2011","Special Education","Other Count","Number","-6666"
"Elm City College Preparatory School District","","2010-2011","Non-Special Education","Other Rate","Percent","-6666"
"Elm City College Preparatory School District","","2010-2011","Special Education","Other Rate","Percent","-6666"
"Elm City College Preparatory School District","","2011-2012","Non-Special Education","Total Cohort Count","Number","-9999"
"Elm City College Preparatory School District","","2011-2012","Special Education","Total Cohort Count","Number","-9999"
"Elm City College Preparatory School District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number","-9999"
"Elm City College Preparatory School District","","2011-2012","Special Education","Four Year Graduation Count","Number","-9999"
"Elm City College Preparatory School District","","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent","-9999"
"Elm City College Preparatory School District","","2011-2012","Special Education","Four Year Graduation Rate","Percent","-9999"
"Elm City College Preparatory School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Elm City College Preparatory School District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Elm City College Preparatory School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Elm City College Preparatory School District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Elm City College Preparatory School District","","2011-2012","Non-Special Education","Other Count","Number","-9999"
"Elm City College Preparatory School District","","2011-2012","Special Education","Other Count","Number","-9999"
"Elm City College Preparatory School District","","2011-2012","Non-Special Education","Other Rate","Percent","-9999"
"Elm City College Preparatory School District","","2011-2012","Special Education","Other Rate","Percent","-9999"
"Elm City College Preparatory School District","","2012-2013","Non-Special Education","Total Cohort Count","Number","13"
"Elm City College Preparatory School District","","2012-2013","Special Education","Total Cohort Count","Number","-6666"
"Elm City College Preparatory School District","","2012-2013","Non-Special Education","Four Year Graduation Count","Number","8"
"Elm City College Preparatory School District","","2012-2013","Special Education","Four Year Graduation Count","Number","-6666"
"Elm City College Preparatory School District","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent","61.5"
"Elm City College Preparatory School District","","2012-2013","Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City College Preparatory School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Elm City College Preparatory School District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City College Preparatory School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Elm City College Preparatory School District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City College Preparatory School District","","2012-2013","Non-Special Education","Other Count","Number","-9999"
"Elm City College Preparatory School District","","2012-2013","Special Education","Other Count","Number","-6666"
"Elm City College Preparatory School District","","2012-2013","Non-Special Education","Other Rate","Percent","-9999"
"Elm City College Preparatory School District","","2012-2013","Special Education","Other Rate","Percent","-6666"
"Elm City College Preparatory School District","","2013-2014","Non-Special Education","Total Cohort Count","Number","-9999"
"Elm City College Preparatory School District","","2013-2014","Special Education","Total Cohort Count","Number","-9999"
"Elm City College Preparatory School District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number","-9999"
"Elm City College Preparatory School District","","2013-2014","Special Education","Four Year Graduation Count","Number","-9999"
"Elm City College Preparatory School District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent","-9999"
"Elm City College Preparatory School District","","2013-2014","Special Education","Four Year Graduation Rate","Percent","-9999"
"Elm City College Preparatory School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Elm City College Preparatory School District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Elm City College Preparatory School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Elm City College Preparatory School District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Elm City College Preparatory School District","","2013-2014","Non-Special Education","Other Count","Number","-9999"
"Elm City College Preparatory School District","","2013-2014","Special Education","Other Count","Number","-9999"
"Elm City College Preparatory School District","","2013-2014","Non-Special Education","Other Rate","Percent","-9999"
"Elm City College Preparatory School District","","2013-2014","Special Education","Other Rate","Percent","-9999"
"Elm City College Preparatory School District","","2014-2015","Non-Special Education","Total Cohort Count","Number","-9999"
"Elm City College Preparatory School District","","2014-2015","Special Education","Total Cohort Count","Number","-9999"
"Elm City College Preparatory School District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number","-9999"
"Elm City College Preparatory School District","","2014-2015","Special Education","Four Year Graduation Count","Number","-9999"
"Elm City College Preparatory School District","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent","-9999"
"Elm City College Preparatory School District","","2014-2015","Special Education","Four Year Graduation Rate","Percent","-9999"
"Elm City College Preparatory School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Elm City College Preparatory School District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Elm City College Preparatory School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Elm City College Preparatory School District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Elm City College Preparatory School District","","2014-2015","Non-Special Education","Other Count","Number","-9999"
"Elm City College Preparatory School District","","2014-2015","Special Education","Other Count","Number","-9999"
"Elm City College Preparatory School District","","2014-2015","Non-Special Education","Other Rate","Percent","-9999"
"Elm City College Preparatory School District","","2014-2015","Special Education","Other Rate","Percent","-9999"
"Elm City Montessori School District","","2010-2011","Non-Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2010-2011","Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2010-2011","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2010-2011","Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2010-2011","Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2010-2011","Non-Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2010-2011","Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2010-2011","Non-Special Education","Other Rate","Percent","-6666"
"Elm City Montessori School District","","2010-2011","Special Education","Other Rate","Percent","-6666"
"Elm City Montessori School District","","2011-2012","Non-Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2011-2012","Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2011-2012","Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2011-2012","Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2011-2012","Non-Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2011-2012","Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2011-2012","Non-Special Education","Other Rate","Percent","-6666"
"Elm City Montessori School District","","2011-2012","Special Education","Other Rate","Percent","-6666"
"Elm City Montessori School District","","2012-2013","Non-Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2012-2013","Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2012-2013","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2012-2013","Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2012-2013","Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2012-2013","Non-Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2012-2013","Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2012-2013","Non-Special Education","Other Rate","Percent","-6666"
"Elm City Montessori School District","","2012-2013","Special Education","Other Rate","Percent","-6666"
"Elm City Montessori School District","","2013-2014","Non-Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2013-2014","Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2013-2014","Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2013-2014","Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2013-2014","Non-Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2013-2014","Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2013-2014","Non-Special Education","Other Rate","Percent","-6666"
"Elm City Montessori School District","","2013-2014","Special Education","Other Rate","Percent","-6666"
"Elm City Montessori School District","","2014-2015","Non-Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2014-2015","Special Education","Total Cohort Count","Number","-6666"
"Elm City Montessori School District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2014-2015","Special Education","Four Year Graduation Count","Number","-6666"
"Elm City Montessori School District","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2014-2015","Special Education","Four Year Graduation Rate","Percent","-6666"
"Elm City Montessori School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Elm City Montessori School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Elm City Montessori School District","","2014-2015","Non-Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2014-2015","Special Education","Other Count","Number","-6666"
"Elm City Montessori School District","","2014-2015","Non-Special Education","Other Rate","Percent","-6666"
"Elm City Montessori School District","","2014-2015","Special Education","Other Rate","Percent","-6666"
"Enfield School District","900325990","2010-2011","Non-Special Education","Total Cohort Count","Number","471"
"Enfield School District","900325990","2010-2011","Special Education","Total Cohort Count","Number","54"
"Enfield School District","900325990","2010-2011","Non-Special Education","Four Year Graduation Count","Number","398"
"Enfield School District","900325990","2010-2011","Special Education","Four Year Graduation Count","Number","29"
"Enfield School District","900325990","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent","84.5"
"Enfield School District","900325990","2010-2011","Special Education","Four Year Graduation Rate","Percent","53.7"
"Enfield School District","900325990","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number","31"
"Enfield School District","900325990","2010-2011","Special Education","Still Enrolled After Four Years Count","Number","15"
"Enfield School District","900325990","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent","6.6"
"Enfield School District","900325990","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent","27.8"
"Enfield School District","900325990","2010-2011","Non-Special Education","Other Count","Number","42"
"Enfield School District","900325990","2010-2011","Special Education","Other Count","Number","10"
"Enfield School District","900325990","2010-2011","Non-Special Education","Other Rate","Percent","8.9"
"Enfield School District","900325990","2010-2011","Special Education","Other Rate","Percent","18.5"
"Enfield School District","900325990","2011-2012","Non-Special Education","Total Cohort Count","Number","426"
"Enfield School District","900325990","2011-2012","Special Education","Total Cohort Count","Number","86"
"Enfield School District","900325990","2011-2012","Non-Special Education","Four Year Graduation Count","Number","384"
"Enfield School District","900325990","2011-2012","Special Education","Four Year Graduation Count","Number","52"
"Enfield School District","900325990","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent","90.1"
"Enfield School District","900325990","2011-2012","Special Education","Four Year Graduation Rate","Percent","60.5"
"Enfield School District","900325990","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number","12"
"Enfield School District","900325990","2011-2012","Special Education","Still Enrolled After Four Years Count","Number","18"
"Enfield School District","900325990","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent","2.8"
"Enfield School District","900325990","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent","20.9"
"Enfield School District","900325990","2011-2012","Non-Special Education","Other Count","Number","30"
"Enfield School District","900325990","2011-2012","Special Education","Other Count","Number","16"
"Enfield School District","900325990","2011-2012","Non-Special Education","Other Rate","Percent","7.0"
"Enfield School District","900325990","2011-2012","Special Education","Other Rate","Percent","18.6"
"Enfield School District","900325990","2012-2013","Non-Special Education","Total Cohort Count","Number","379"
"Enfield School District","900325990","2012-2013","Special Education","Total Cohort Count","Number","66"
"Enfield School District","900325990","2012-2013","Non-Special Education","Four Year Graduation Count","Number","346"
"Enfield School District","900325990","2012-2013","Special Education","Four Year Graduation Count","Number","43"
"Enfield School District","900325990","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent","91.3"
"Enfield School District","900325990","2012-2013","Special Education","Four Year Graduation Rate","Percent","65.2"
"Enfield School District","900325990","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number","9"
"Enfield School District","900325990","2012-2013","Special Education","Still Enrolled After Four Years Count","Number","11"
"Enfield School District","900325990","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent","2.4"
"Enfield School District","900325990","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent","16.7"
"Enfield School District","900325990","2012-2013","Non-Special Education","Other Count","Number","24"
"Enfield School District","900325990","2012-2013","Special Education","Other Count","Number","12"
"Enfield School District","900325990","2012-2013","Non-Special Education","Other Rate","Percent","6.3"
"Enfield School District","900325990","2012-2013","Special Education","Other Rate","Percent","18.2"
"Enfield School District","900325990","2013-2014","Non-Special Education","Total Cohort Count","Number","364"
"Enfield School District","900325990","2013-2014","Special Education","Total Cohort Count","Number","60"
"Enfield School District","900325990","2013-2014","Non-Special Education","Four Year Graduation Count","Number","324"
"Enfield School District","900325990","2013-2014","Special Education","Four Year Graduation Count","Number","42"
"Enfield School District","900325990","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent","89.0"
"Enfield School District","900325990","2013-2014","Special Education","Four Year Graduation Rate","Percent","70.0"
"Enfield School District","900325990","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Enfield School District","900325990","2013-2014","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Enfield School District","900325990","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Enfield School District","900325990","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Enfield School District","900325990","2013-2014","Non-Special Education","Other Count","Number","24"
"Enfield School District","900325990","2013-2014","Special Education","Other Count","Number","13"
"Enfield School District","900325990","2013-2014","Non-Special Education","Other Rate","Percent","6.6"
"Enfield School District","900325990","2013-2014","Special Education","Other Rate","Percent","21.7"
"Enfield School District","900325990","2014-2015","Non-Special Education","Total Cohort Count","Number","338"
"Enfield School District","900325990","2014-2015","Special Education","Total Cohort Count","Number","54"
"Enfield School District","900325990","2014-2015","Non-Special Education","Four Year Graduation Count","Number","304"
"Enfield School District","900325990","2014-2015","Special Education","Four Year Graduation Count","Number","36"
"Enfield School District","900325990","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent","89.9"
"Enfield School District","900325990","2014-2015","Special Education","Four Year Graduation Rate","Percent","66.7"
